"ccaa_num","sexo","anyo","poblacion","idjoin","CCAA","Sexo","Periodo","casos","ccaa_num.y","tasa"
2,"Ambos sexos",2006,258735,"22006","02 Aragón","Hombres",2006,132,2,51.0174502869732
2,"Ambos sexos",2006,258735,"22006","02 Aragón","Mujeres",2006,225,2,86.9615629891588
2,"Ambos sexos",2006,258735,"22006","02 Aragón","Total",2006,357,2,137.979013276132
2,"Ambos sexos",2007,259474,"22007","02 Aragón","Hombres",2007,100,2,38.5395068484704
2,"Ambos sexos",2007,259474,"22007","02 Aragón","Mujeres",2007,260,2,100.202717806023
2,"Ambos sexos",2007,259474,"22007","02 Aragón","Total",2007,360,2,138.742224654493
2,"Ambos sexos",2008,261144,"22008","02 Aragón","Hombres",2008,129,2,49.398033269001
2,"Ambos sexos",2008,261144,"22008","02 Aragón","Mujeres",2008,243,2,93.0521091811414
2,"Ambos sexos",2008,261144,"22008","02 Aragón","Total",2008,372,2,142.450142450142
2,"Ambos sexos",2009,263282,"22009","02 Aragón","Hombres",2009,136,2,51.655639200553
2,"Ambos sexos",2009,263282,"22009","02 Aragón","Mujeres",2009,302,2,114.705904695346
2,"Ambos sexos",2009,263282,"22009","02 Aragón","Total",2009,438,2,166.361543895899
2,"Ambos sexos",2010,266021,"22010","02 Aragón","Hombres",2010,110,2,41.3501189755696
2,"Ambos sexos",2010,266021,"22010","02 Aragón","Mujeres",2010,262,2,98.4884651963567
2,"Ambos sexos",2010,266021,"22010","02 Aragón","Total",2010,372,2,139.838584171926
2,"Ambos sexos",2011,268764,"22011","02 Aragón","Hombres",2011,127,2,47.2533523835037
2,"Ambos sexos",2011,268764,"22011","02 Aragón","Mujeres",2011,294,2,109.389650399607
2,"Ambos sexos",2011,268764,"22011","02 Aragón","Total",2011,421,2,156.643002783111
2,"Ambos sexos",2012,270218,"22012","02 Aragón","Hombres",2012,120,2,44.4085886210393
2,"Ambos sexos",2012,270218,"22012","02 Aragón","Mujeres",2012,286,2,105.84046954681
2,"Ambos sexos",2012,270218,"22012","02 Aragón","Total",2012,406,2,150.24905816785
2,"Ambos sexos",2013,273107,"22013","02 Aragón","Hombres",2013,126,2,46.1357636384274
2,"Ambos sexos",2013,273107,"22013","02 Aragón","Mujeres",2013,243,2,88.9761155883958
2,"Ambos sexos",2013,273107,"22013","02 Aragón","Total",2013,369,2,135.111879226823
2,"Ambos sexos",2014,275875,"22014","02 Aragón","Hombres",2014,141,2,51.110104213865
2,"Ambos sexos",2014,275875,"22014","02 Aragón","Mujeres",2014,330,2,119.619392840961
2,"Ambos sexos",2014,275875,"22014","02 Aragón","Total",2014,471,2,170.729497054826
2,"Ambos sexos",2015,277541,"22015","02 Aragón","Hombres",2015,149,2,53.68576174331
2,"Ambos sexos",2015,277541,"22015","02 Aragón","Mujeres",2015,365,2,131.51210091482
2,"Ambos sexos",2015,277541,"22015","02 Aragón","Total",2015,514,2,185.19786265813
2,"Ambos sexos",2016,279521,"22016","02 Aragón","Hombres",2016,141,2,50.4434371657228
2,"Ambos sexos",2016,279521,"22016","02 Aragón","Mujeres",2016,326,2,116.628088766139
2,"Ambos sexos",2016,279521,"22016","02 Aragón","Total",2016,467,2,167.071525931862
2,"Ambos sexos",2017,281622,"22017","02 Aragón","Hombres",2017,167,2,59.2993445114373
2,"Ambos sexos",2017,281622,"22017","02 Aragón","Mujeres",2017,357,2,126.76566461427
